,Sample_600,Sample_601,Sample_602,Sample_616,Sample_617,Sample_603,Sample_604,Sample_605,Sample_606,Sample_621,Sample_607,Sample_608,Sample_609,Sample_610,Sample_623,Sample_611,Sample_612,Sample_613,Sample_614,Sample_615
ENSMUSG00000051285,169.2193498,309.8323053,417.709088,214.0394441,202.5004445,110.2404472,171.3816005,61.79141403,190.6425281,427.3330495,228.7335869,410.8911616,313.0504435,412.2549851,133.7675812,93.30319458,248.0401306,46.21468947,417.3508006,513.4849755
ENSMUSG00000057363,47.53352522,66.64997266,54.80580233,41.23695712,49.30861888,57.16171338,0,0,103.5589041,58.42021436,63.76201758,88.17406902,60.75650055,14.45406198,99.46820139,103.3665218,18.44525433,0,65.25144096,39.3660304
ENSMUSG00000100555,23.76676261,55.84186899,0,48.1097833,18.19152929,28.58085669,151.2190592,68.65712671,5.884028645,30.291963,21.25400586,15.87133242,45.30993261,40.01051939,30.86944181,5.093782927,1.456204289,390.2573778,0,0
ENSMUSG00000078184,50.38553674,59.44457021,5.924951603,12.76382006,24.41494721,32.66383622,10.08127062,0,44.7186177,37.86495375,19.22981483,18.51655449,39.13130544,36.868332,56.59397665,57.02552106,49.99634726,0,82.0488416,14.61837971
ENSMUSG00000061024,273.7931053,293.6201498,232.5543504,144.3293499,360.0007902,145.6262698,55.44698839,109.8514027,222.4162828,315.9018999,253.0238793,319.1901299,209.0435527,211.3644715,221.2309996,240.525945,248.0401306,302.9629643,440.6087399,213.520428
ENSMUSG00000025911,154.9592922,525.9943788,309.5787213,208.1484502,256.5963079,155.153222,171.3816005,0,264.781289,529.0274967,301.6044641,336.8249437,375.8664865,528.0969601,265.8201934,148.5893751,171.8321061,10.26993099,323.0269354,646.7769731
ENSMUSG00000057335,552.3395631,61.24592082,152.5675038,330.8774892,408.8306847,321.1943895,25.20317654,13.73142534,314.2071296,203.3888944,286.4230313,253.9413188,573.5825561,170.0970772,147.4873331,389.6122746,316.4817322,10.26993099,103.0455924,125.6950444
ENSMUSG00000100551,33.27346766,46.83511592,62.21199184,17.67298162,27.28729394,29.94184987,80.65016493,0,10.59125156,4.327423286,26.31448345,19.39829518,10.29771196,77.71676803,44.58919372,8.448225342,4.368612868,5.134965497,182.8332455,25.4382828
ENSMUSG00000025912,97.91906196,19.81485674,54.80580233,95.23773429,49.78734333,24.49787716,0,13.73142534,51.77945207,72.48434004,35.4233431,52.90444141,1227.487265,41.89583182,15.4347209,25.84163046,0.48540143,15.40489649,12.59805048,22.3304383
ENSMUSG00000045210,358.4027802,250.3877351,432.5214671,303.3861845,477.7670062,251.7837375,10.08127062,144.1799661,443.6557598,453.2975892,256.0601658,381.7937189,594.17798,280.2831149,181.7867129,368.3674726,259.2043635,5.134965497,369.2197872,269.2314184
ENSMUSG00000041763,378.3668608,131.4985947,468.0711767,339.71398,455.2669568,306.2234646,272.1943066,68.65712671,354.2185244,386.2225283,437.2252634,488.4843424,481.9329196,317.7798844,272.6800693,364.3918372,301.4342879,15.40489649,354.6835751,226.5273328
ENSMUSG00000026504,110.2777785,52.23916776,35.54970962,114.8743805,59.36183243,47.63476115,0,34.32856335,114.1501557,31.37381882,39.47172517,64.36707039,81.35192447,85.25801776,73.74366654,139.0230023,128.6313789,5.134965497,89.47846112,41.78324279
ENSMUSG00000026483,45.63218421,19.81485674,22.21856851,15.709317,15.79790702,28.58085669,5.040635308,0,43.54181197,5.409279108,16.19352827,42.32355313,94.73895001,10.68343711,20.57962787,51.68326091,87.85765878,0,24.22702016,39.71134645
ENSMUSG00000019699,10.45737555,36.02701225,4.443713703,26.50947243,23.93622276,46.27376798,0,0,61.1938979,16.22783732,52.62896689,22.04351726,17.50611033,0.418958318,0,28.45064122,0.48540143,0,23.25793935,10.01416563
ENSMUSG00000063659,186.3314189,70.25267389,251.8104431,159.0568346,198.6706489,92.54753595,80.65016493,27.46285068,196.5265567,154.7053825,350.1850489,314.7814264,159.6145353,286.986448,186.9316198,156.7891233,260.6605678,15.40489649,355.6526559,329.4315175
ENSMUSG00000026049,60.84291229,43.2324147,78.50560875,71.6737588,55.53203679,44.9127748,35.28444716,0,68.25473228,29.21010718,11.13305069,50.25921934,75.17329729,10.05499964,18.86465888,45.47133052,0.48540143,503.2266187,40.05533999,6.445899714
ENSMUSG00000043019,255.7303657,115.2864392,279.9539633,263.1310597,340.3730876,186.4560651,75.60952962,6.865712671,318.9143525,227.1897225,289.4593179,301.5553161,329.5267827,344.8026959,108.0430463,184.4943328,241.729912,10.26993099,293.9545112,262.9006241
ENSMUSG00000032666,23.76676261,3.602701225,38.51218542,38.29146018,11.96811138,39.4688021,0,0,29.42014322,91.95774483,53.64106241,47.61399727,48.3992462,44.40958173,60.02391463,22.98414247,0,261.8832403,1.292107742,44.66087659
ENSMUSG00000015961,574.2049847,324.2431102,419.1903259,359.3506263,434.2030808,382.4390824,236.9098595,89.25426472,330.6824098,416.5144913,543.4952927,462.0321217,413.9680207,372.8729032,360.1434878,345.6318074,220.8576505,10.26993099,602.7682615,362.927175
ENSMUSG00000014980,23.76676261,0,17.77485481,24.54580781,16.75535593,35.38582257,120.9752474,123.5828281,29.42014322,18.39154897,20.24191034,36.1513683,26.77405109,16.54885357,6.859875958,60.7526793,17.9598529,575.1161356,26.48820871,8.863112107
ENSMUSG00000026047,58.94157128,10.80810367,26.66228222,106.0378897,77.55336173,31.30284304,5.040635308,0,36.4809776,38.94680958,20.24191034,89.05580971,3.089313587,51.95083146,12.00478293,54.04379447,0.970802859,359.4475848,56.20668677,67.9121577
ENSMUSG00000041684,57.99090077,25.21890857,8.887427405,42.21878943,61.27673025,24.49787716,0,0,51.77945207,55.1746469,26.31448345,27.3339614,26.77405109,7.12229141,0,10.9329975,19.90145862,20.53986199,45.22377096,43.85513913
ENSMUSG00000026502,194.8874534,432.324147,521.3957411,269.0220536,397.8200222,291.2525396,110.8939768,157.9113914,464.8382629,316.9837557,322.85847,408.2459396,457.2184109,198.1672845,348.1387048,140.0169112,52.90875584,15.40489649,371.4809758,364.4235446
ENSMUSG00000026048,250.9770132,118.8891404,109.6116047,307.3135137,141.7024387,140.1822971,161.3003299,89.25426472,132.9790474,131.9864102,107.2821248,146.3689546,196.6862984,90.49499674,236.6657205,208.4723842,95.13868023,20.53986199,154.7299021,104.630765
ENSMUSG00000101567,30.42145614,23.41755796,25.18104431,8.83649081,10.05321356,24.49787716,10.08127062,0,15.29847448,18.39154897,47.5684893,22.04351726,1.029771196,15.08249946,0,6.957362046,0.970802859,0,12.59805048,9.783954924
ENSMUSG00000026245,359.3534507,210.7580217,223.666923,247.4217427,337.5007409,325.277369,216.7473182,281.4942195,426.0036739,218.5348759,203.4311989,294.5013905,365.5687745,219.3246796,337.8488909,350.9740675,337.3539937,30.80979298,230.9642588,317.4605609
ENSMUSG00000026482,36.12547917,120.690491,134.792649,54.00077717,27.28729394,58.52270656,60.4876237,0,68.25473228,53.01093525,163.9594738,102.2819201,193.5969848,121.2884331,102.8981394,60.13148626,39.31751581,0,99.81532305,79.76800896
ENSMUSG00000080950,105.524426,0,39.99342332,62.83726798,44.04264987,38.10780892,45.36571777,0,9.414445831,1.081855822,32.38705655,15.87133242,36.04199185,2.723229069,17.14968989,47.95610268,140.7664146,0,35.20993596,19.56790985
ENSMUSG00000008475,293.7571859,243.1823327,143.6800764,316.1500045,271.9154905,157.8752084,196.584777,0,251.836426,240.1719924,218.6126317,259.2317629,355.2710625,221.0005129,240.0956585,227.7293684,128.1459775,626.4657906,275.5419759,279.7060055
ENSMUSG00000039630,2933.769177,3476.606682,2463.298629,2806.076748,2992.506569,3646.100718,3286.494221,3151.362116,2965.550437,2792.269875,2453.319533,3486.402689,2735.072296,2424.721267,3423.078103,3438.303476,2618.255312,2603.427507,2796.44418,2855.418468
ENSMUSG00000032883,156.8606332,187.3404637,191.0796892,48.1097833,148.8833055,21.77589081,45.36571777,6.865712671,117.6805729,95.20331229,138.6570858,193.9829518,60.75650055,303.9542599,116.6178913,34.66257162,0.48540143,0,131.4719627,259.6776742
ENSMUSG00000025915,162.5646563,104.4783355,96.28046356,78.54658498,139.3088164,63.96667926,0,41.19427602,163.5759963,127.6589869,143.7175634,104.0454014,147.257281,56.76885212,22.29459686,92.80624015,0.48540143,0,57.17576757,108.0839256
ENSMUSG00000079470,21.8654216,180.1350612,0,117.8198775,130.6917762,59.88369973,80.65016493,82.38855205,112.97335,44.35608868,146.75385,106.6906235,150.3465946,20.31947843,118.3328603,144.9864555,161.1532747,0,54.59155209,44.8910873
ENSMUSG00000099377,28.52011513,7.20540245,62.21199184,45.16428636,44.52137433,46.27376798,0,20.59713801,17.65208593,22.71897225,7.08466862,20.28003588,36.04199185,27.02281153,15.4347209,16.89645068,0,0,7.752646451,6.330794362
