"","KW_Pval","Pval_d1t1_vs_d1t2","log2FoldChange_d1t1_vs_d1t2","Pval_d1t1_vs_d2t1","log2FoldChange_d1t1_vs_d2t1","Pval_d1t1_vs_d2t2","log2FoldChange_d1t1_vs_d2t2","Pval_d1t2_vs_d2t1","log2FoldChange_d1t2_vs_d2t1","Pval_d1t2_vs_d2t2","log2FoldChange_d1t2_vs_d2t2","Pval_d2t1_vs_d2t2","log2FoldChange_d2t1_vs_d2t2"
"ENSMUSG00000025902",0.237251574218137,1,-0.0010164797806816,1,-0.626235521328304,1,-0.457404670491532,0.253417121756203,-0.625219041547623,1,-0.45638819071085,1,0.168830850836773
"ENSMUSG00000090031",0.143326113582949,1,0.210840542325805,1,0.288234745606824,0.253417121756202,-1.36499706778154,1,0.0773942032810193,0.466468454692815,-1.57583761010734,0.368212974836413,-1.65323181338836
"ENSMUSG00000051285",0.00140309584386657,1,0.44048291536038,0.726683205941114,-0.811458249622835,0.129218275666543,1.49257918078331,0.0969415875670879,-1.25194116498322,0.8937667468433,1.05209626542293,0.000712879705934136,2.30403743040614
"ENSMUSG00000098234",0.273429064678437,1,-0.0189841711549331,0.523071818441571,-0.783534140021345,1,-0.0307292434348151,0.726683205941114,-0.764549968866412,1,-0.011745072279882,0.726683205941114,0.75280489658653
"ENSMUSG00000099032",0.612451114123215,1,-0.894199043288979,1,0.284315832475974,1,-0.177689593539054,1,1.17851487576495,1,0.716509449749925,1,-0.462005426015028
"ENSMUSG00000048960",0.205511674044995,1,-0.53071990627809,1,-0.18063620847276,0.287752883586541,-1.59468579233759,1,0.35008369780533,1,-1.0639658860595,0.806885880862891,-1.41404958386483
"ENSMUSG00000016918",0.637569190677842,1,-1.60551669842737,1,-2.35403455823012,1,-0.718730199556479,1,-0.748517859802741,1,0.886786498870895,1,1.63530435867364
"ENSMUSG00000025920",0.398727255621442,0.652856580243274,-0.62283984423269,1,-1.09053512964965,1,-0.0618095666630553,1,-0.467695285416958,1,0.561030277569635,1,1.02872556298659
"ENSMUSG00000042686",0.536464536556524,1,-1.74400071904537,1,-4.40070902007973,1,0.441832557425506,1,-2.65670830103436,1,2.18583327647088,1,4.84254157750524
"ENSMUSG00000067780",0.011187119890085,1,-2.22095269297203,0.365873470932882,-2.71161994579199,0.00951709587699546,-5.88333053186866,1,-0.490667252819969,0.12804121582835,-3.66237783889664,1,-3.17171058607667
"ENSMUSG00000041859",0.0117258755784214,0.466468454692816,-1.19840803513121,0.585092953900933,-1.3566926298405,0.00551751290674226,-2.88540594388381,1,-0.158284594709288,0.726683205941114,-1.6869979087526,0.585092953900933,-1.52871331404331
"ENSMUSG00000025931",0.133106794340076,1,0.118745733236134,0.414956951645842,-1.58516591444492,0.806885880862891,-1.15580486869931,0.414956951645842,-1.70391164768105,0.806885880862891,-1.27455060193544,1,0.429361045745609
