"","sample_info$diet","sample_info$treatment","interaction","Pval_d1t1_vs_d1t2","log2FoldChange_d1t1_vs_d1t2","Pval_d1t1_vs_d2t1","log2FoldChange_d1t1_vs_d2t1","Pval_d1t1_vs_d2t2","log2FoldChange_d1t1_vs_d2t2","Pval_d1t2_vs_d2t1","log2FoldChange_d1t2_vs_d2t1","Pval_d1t2_vs_d2t2","log2FoldChange_d1t2_vs_d2t2","Pval_d2t1_vs_d2t2","log2FoldChange_d2t1_vs_d2t2"
"ENSMUSG00000033845",0.0617161907312848,0.00699618351501923,0.305605404492777,0.495281915918949,0.356654773327556,0.906048100006584,0.155836339908378,0.0113916045998549,1.15005637209873,0.868594758880669,-0.200818433419178,0.174221150209186,0.793401598771176,0.0433811737923376,0.994220032190354
"ENSMUSG00000102275",0.0308661516483078,0.0237436735704673,0.00404412930630276,0.929320458894111,-0.797190653813515,0.00467828142276616,-2.5704872081783,0.999700178194704,0.17370469322102,0.015941073292833,-1.77329655436478,0.89678758482187,0.970895347034535,0.00387232130716375,2.74419190139932
"ENSMUSG00000025903",0.861724684029272,0.0158589742451474,0.14788771542368,0.838487866893525,0.441536255725191,0.778798364332674,-0.379638418267942,0.217438771227298,1.48997336649557,0.317149990546462,-0.821174673993133,0.635374973772662,1.04843711077038,0.0395453132593292,1.86961178476351
"ENSMUSG00000033813",0.012435108518399,0.764306572164652,0.883878515709844,0.999492789792027,0.0337086056265223,0.272506357976811,0.721117112510462,0.163623612447715,0.889614695358625,0.320267321506725,0.687408506883939,0.19642492047417,0.855906089732103,0.988169415298235,0.168497582848163
"ENSMUSG00000025907",0.0302539087660074,0.00100036634853491,0.00123930842478082,0.999860185807989,0.0264342251773659,0.00206174375281021,-1.08533856034918,0.660580306699603,0.498281700758858,0.00178253472240841,-1.11177278552655,0.702777712743006,0.471847475581492,0.000209035107699318,1.58362026110804
"ENSMUSG00000103509",0.294604969499739,0.591632360492111,0.0186910449576905,0.480894151289339,0.73634189826883,0.0792395117147323,1.80998839244615,0.980783220158514,0.157735200576967,0.663294460601613,1.07364649417732,0.703802586619631,-0.578606697691864,0.15531889167635,-1.65225319186918
"ENSMUSG00000048538",0.000214018621732883,0.0443486355852739,0.123758445242459,0.068887066364207,0.918985672884801,0.00180737856141211,2.25050118179865,0.000819571671004105,2.824614325486,0.299824729965506,1.33151550891385,0.161219534911282,1.9056286526012,0.978504723065212,0.574113143687354
"ENSMUSG00000025909",0.698707186769319,0.494342326592886,0.561337720142633,0.999841286289476,-0.0495492161491991,0.896297394154876,0.566685661086379,0.99629736702777,-0.138089743983443,0.865351918350969,0.616234877235578,0.998960828173108,-0.0885405278342435,0.797769223386018,-0.704775405069821
"ENSMUSG00000061024",0.56362999659926,0.0624917186262876,0.664018348223618,0.341841880848944,-0.672369521789926,0.999578793424661,0.0524932973692784,0.752166212890141,-0.425496672692954,0.294754823772401,0.724862819159204,0.883681463493648,0.246872849096972,0.692866303281179,-0.477989970062232
"ENSMUSG00000025911",0.0415018283680234,3.72768823546421e-05,0.397424090177725,0.0183901061316335,1.02211998879693,0.777523782085007,0.223440063670262,0.000232003279349136,2.61119332902811,0.113738499873423,-0.798679925126671,0.170463969760994,1.58907334023118,0.0015192417309754,2.38775326535785
"ENSMUSG00000079671",0.0236348073733443,0.0513315140114707,0.52032649562315,0.737880139455215,-0.808117393537123,0.573882529088024,-0.967514886968254,0.0229972286357213,-1.76032408272795,0.992111587363859,-0.159397493431131,0.156459568420973,-0.952206689190827,0.245757036426424,-0.792809195759695
