genus,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24
unclassified,281,304,1902,564,688,235,2828,370,758,322,228,3085,114,152,1477,611,185,510,1002,3544,611,665,717,323
Dubosiella,583,181,118,145,112,118,665,131,121,117,113,210,120,460,117,105,114,737,728,123,245,220,402,57
Bacteroides,406,92,91,106,111,185,106,156,91,93,78,95,97,421,165,129,102,129,128,170,617,677,140,774
Parasutterella,4,243,435,329,346,21,131,242,369,365,247,256,396,8,388,121,386,7,4,435,4,119,10,1
Barnesiella,275,147,169,141,130,185,255,147,130,130,393,130,26,18,422,206,142,144,138,124,235,302,136,430
Muricaecibacterium,22,218,368,174,288,107,10,123,400,400,23,296,298,0,423,96,395,0,0,34,27,28,0,0
Alistipes,6,636,3,460,295,3,4,96,2,2,0,1,0,3,5,5,44,36,618,65,312,141,28,16
Akkermansia,296,61,47,51,48,55,47,50,54,47,46,64,51,546,53,50,42,79,60,65,79,64,73,568
Oscillibacter,7,20,87,110,115,4,491,31,32,67,29,374,8,7,43,24,4,28,124,174,28,26,33,70
Clostridium,10,32,262,35,55,46,100,26,50,153,4,116,2,22,43,4,12,255,125,137,84,53,51,6
Acetatifactor,2,6,66,20,48,1,90,17,47,33,24,1034,1,2,20,11,0,8,28,90,11,15,16,7
Pseudoflavonifractor,7,16,50,144,64,1,163,24,18,52,10,419,2,4,17,15,3,45,107,211,27,35,37,95
Limosilactobacillus,0,0,0,0,0,0,0,0,13,8,442,276,7,0,24,14,456,7,21,11,39,12,91,1
Flintibacter,2,17,42,71,63,1,104,10,16,27,10,282,5,5,15,19,0,18,56,221,13,13,13,42
Acutalibacter,4,20,49,32,20,10,55,22,14,21,11,84,4,4,16,3,4,25,54,216,25,28,198,16
Anaerotruncus,7,20,59,53,30,0,75,41,24,46,8,80,4,11,39,17,5,37,56,57,49,55,51,29
Prevotella,60,14,10,7,7,32,35,17,0,0,0,0,7,12,46,37,17,66,61,33,87,80,62,33
Eubacterium,0,11,23,16,20,5,33,9,19,13,7,61,0,3,158,5,2,17,94,44,9,19,64,4
Colidextribacter,1,4,12,39,45,0,59,4,6,10,5,138,1,1,9,2,0,9,19,103,6,14,11,29
Klebsiella,3,6,18,24,29,4,52,7,9,16,10,76,7,6,36,48,8,9,20,53,15,29,10,15
Roseburia,1,6,24,18,21,1,33,11,15,6,5,59,2,5,30,4,0,5,59,102,20,14,24,4
Sangeribacter,24,16,20,14,15,22,25,18,15,15,35,19,4,3,28,14,17,16,20,17,20,33,17,40
Parablautia,1,3,77,10,15,1,21,9,123,16,3,51,0,1,9,2,1,2,14,39,5,8,12,5
Butyricicoccus,3,8,16,32,30,2,48,14,6,13,3,74,4,4,8,7,2,11,27,46,14,16,16,23
Flavonifractor,0,2,22,35,20,1,64,6,8,23,2,86,2,2,10,3,0,8,22,46,6,7,7,25
Duncaniella,21,7,6,4,5,16,9,10,3,1,3,3,12,19,28,29,17,22,23,22,50,42,22,19
Senimuribacter,0,0,1,0,1,2,0,0,0,0,2,0,2,0,0,3,282,0,3,39,4,1,1,0
Thomasclavelia,0,3,11,7,6,2,72,4,1,6,116,19,10,1,21,27,3,3,7,18,0,1,0,1
Petralouisia,0,1,12,6,11,0,18,5,7,6,6,26,0,0,10,5,0,4,76,28,6,0,46,1
Candidatus Amulumruptor,16,8,3,3,2,11,9,6,0,0,0,0,6,6,19,19,14,22,14,18,34,24,20,6
Intestinimonas,2,6,14,15,10,0,27,5,5,13,1,56,0,1,3,2,0,14,12,30,10,8,13,10
Ruminococcus,2,14,15,7,11,10,17,13,12,10,1,27,0,6,9,1,2,9,13,24,17,16,19,1
Mycoplasma,0,9,2,4,0,0,0,0,2,0,0,0,0,0,0,1,0,7,21,195,0,0,2,0
Muribaculum,13,6,7,4,4,11,8,5,1,2,3,1,1,10,16,18,7,21,8,12,27,27,13,13
Enterocloster,1,4,20,6,15,3,30,6,6,7,2,30,0,4,14,4,3,4,14,24,9,7,11,4
Anaeromassilibacillus,3,6,33,6,6,29,16,16,8,14,0,11,0,3,3,1,2,9,8,9,16,14,13,1
Lachnoclostridium,0,7,16,5,10,9,27,5,18,3,1,25,0,4,4,2,0,6,25,29,5,9,7,7
Schaedlerella,1,4,13,13,11,0,18,4,22,7,2,32,0,1,9,3,2,3,10,24,6,9,13,2
Dorea,0,3,10,6,11,1,53,4,10,8,3,34,0,0,7,4,1,1,9,23,4,3,12,0
Otoolea,0,4,17,6,9,0,7,10,8,5,4,32,0,2,7,0,1,3,12,27,4,11,10,4
Pumilibacter,1,6,8,4,12,1,1,1,12,1,0,5,0,0,1,10,0,10,11,38,20,29,11,0
Faecalibacterium,1,5,12,8,16,1,7,2,12,3,1,14,0,0,0,0,0,13,15,21,17,13,15,4
Paenibacillus,3,8,19,5,7,11,12,8,8,7,0,5,0,3,1,0,2,3,6,10,12,13,9,3
Sporofaciens,0,1,7,5,8,0,21,5,9,10,0,18,0,2,5,3,0,4,14,16,4,8,6,4
Blautia,0,5,12,5,7,6,17,3,11,2,1,25,2,0,4,0,1,3,3,22,9,1,7,0
Parabacteroides,5,2,3,2,3,2,2,1,1,1,0,2,6,8,18,18,8,4,5,14,13,15,5,6
Hominisplanchenecus,1,1,12,1,5,0,16,1,6,4,6,12,2,1,10,4,1,3,4,23,3,2,6,4
Gemmiger,0,2,8,10,1,0,14,4,1,7,0,23,0,0,1,0,1,4,12,12,3,2,4,13
Eisenbergiella,2,3,7,8,5,2,10,2,12,7,5,12,3,1,3,4,1,3,7,13,2,4,3,0
Romboutsia,0,0,1,1,2,2,6,0,0,1,100,1,0,0,0,0,0,1,1,0,2,0,1,0
Mediterraneibacter,1,2,8,5,0,1,14,3,10,6,1,14,0,1,5,3,1,2,5,13,6,5,5,1
Subdoligranulum,1,11,5,4,6,1,12,6,3,5,2,13,1,0,4,0,0,5,6,7,6,8,5,1
Marasmitruncus,1,6,10,2,1,3,9,12,3,8,0,5,0,4,1,0,1,7,2,5,9,9,8,2
Ruthenibacterium,0,54,5,3,0,3,5,1,0,1,0,4,0,0,1,1,1,1,1,4,1,1,2,2
Anaerocaecibacter,0,1,4,4,8,1,1,2,11,0,0,0,0,0,0,0,1,7,7,8,15,11,8,0
Anaerocolumna,2,2,11,2,9,5,9,2,8,3,0,6,0,1,0,1,0,3,6,5,2,2,2,1
Vermiculatibacterium,0,0,2,5,2,0,7,3,1,1,0,25,0,0,0,0,1,2,6,7,1,4,1,9
Butyrivibrio,0,0,6,1,3,0,4,2,10,2,0,17,0,1,3,2,0,2,2,10,4,1,1,0
Phocaeicola,3,4,3,3,1,4,3,3,1,1,0,2,0,2,7,2,2,3,3,4,6,5,4,5
Neglectibacter,1,1,21,0,1,23,3,0,1,1,0,7,0,0,0,0,3,1,1,3,0,2,0,1
Hydrogenoanaerobacterium,1,3,7,2,2,1,6,10,0,5,0,1,0,0,1,0,0,4,3,2,7,5,7,0
Christensenella,0,3,3,0,8,1,1,1,8,0,0,0,0,0,0,1,0,4,5,6,14,6,2,1
Angelakisella,0,1,6,5,1,0,4,3,1,4,0,5,0,0,2,0,1,3,2,7,6,3,6,0
Clostridioides,0,4,3,4,2,0,4,2,4,1,3,8,1,0,1,0,3,2,4,6,5,0,3,0
Leptogranulimonas,0,3,3,2,8,4,0,3,6,8,0,3,7,0,5,2,5,0,0,0,1,0,0,0
Dysosmobacter,0,2,2,4,2,0,12,0,1,2,0,17,0,1,1,0,0,1,5,4,1,1,1,2
Lachnotalea,1,3,3,5,3,0,8,1,2,4,0,5,0,2,2,0,1,1,4,5,1,3,3,1
Ligaoa,1,3,4,2,1,3,4,4,2,7,0,2,0,0,1,0,0,3,2,4,5,5,4,0
Cuneatibacter,0,1,7,3,5,2,6,3,3,1,0,3,0,1,0,0,0,2,3,3,3,7,3,0
Kineothrix,0,0,5,2,6,0,3,1,6,0,0,1,0,0,1,0,0,0,3,24,2,2,0,0
Lawsonibacter,1,1,2,2,1,0,7,2,1,2,0,17,0,1,0,1,0,1,5,6,1,2,1,2
