"","Pval","Pval_d1t1_vs_d1t2","log2FoldChange_d1t1_vs_d1t2","Pval_d1t1_vs_d2t1","log2FoldChange_d1t1_vs_d2t1","Pval_d1t1_vs_d2t2","log2FoldChange_d1t1_vs_d2t2","Pval_d1t2_vs_d2t1","log2FoldChange_d1t2_vs_d2t1","Pval_d1t2_vs_d2t2","log2FoldChange_d1t2_vs_d2t2","Pval_d2t1_vs_d2t2","log2FoldChange_d2t1_vs_d2t2"
"ENSMUSG00000033793",0.15334515935476,0.999442319552068,-0.0612249653661115,0.907059323786466,-0.385383239478324,0.375653008736927,0.263551486221701,0.955480193815789,-0.324158274112213,0.432761798670844,0.324776451587812,0.656928293732381,0.648934725700025
"ENSMUSG00000043716",0.407251792874099,0.740036621976912,-0.259134717969617,0.996206025353315,-0.0444458666830966,0.926573925405202,0.082411374518939,0.847346323942362,0.21468885128652,0.545563942382833,0.341546092488556,0.713379449636,0.126857241202036
"ENSMUSG00000042197",0.0415500372973627,0.299548187839844,-0.511479296676796,0.999999934648563,-0.00925881000964344,0.10496462664226,-0.882640296891908,0.2997106784653,0.502220486667153,0.689592103579834,-0.371161000215111,0.119085767847372,-0.873381486882264
"ENSMUSG00000026103",0.00458726240650789,0.0432783152173148,-1.43641845936877,0.220158089070976,-0.837468696097592,0.0819961900023914,-2.12757900668182,0.363084268280033,0.598949763271178,0.508287003269273,-0.691160547313048,0.171800086901659,-1.29011031058423
"ENSMUSG00000041303",0.226031216667952,0.99991018586756,-0.0725811453122075,0.903808945542872,-0.269949566358427,0.232271586168576,-0.286995278762083,0.993036750645764,-0.19736842104622,0.939162480694209,-0.214414133449876,0.999999913087914,-0.0170457124036557
"ENSMUSG00000101188",0.000645534938468549,0.999613698846988,0.0693499116987022,0.0194310989837974,0.793061465527685,0.987897925602023,-0.0684518818531275,0.167688263494517,0.723711553828982,0.956073520504047,-0.13780179355183,0.00183682334680346,-0.861513347380812
"ENSMUSG00000040865",0.0578468049398599,0.802480777386598,-0.355394538341434,0.164334793884895,-0.496260836511902,0.108997314813779,-1.28612961164903,0.980353385447713,-0.140866298170469,0.216686190042026,-0.930735073307596,0.2898496783784,-0.789868775137128
"ENSMUSG00000025949",0.0319641279353834,0.999999317479406,-0.0160572326337973,0.336707840589617,-0.766177766105726,0.0664889125341166,-0.720058628419541,0.348404202467883,-0.750120533471928,0.08281596870238,-0.704001395785744,0.999994113769737,0.0461191376861847
"ENSMUSG00000025997",0.209583057964997,0.999431751512562,-0.324016898789871,0.208709703519249,-2.33560524342367,0.996365901838582,-0.329148831878166,0.264752327596495,-2.0115883446338,0.999999999999944,-0.00513193308829556,0.260146865603683,2.00645641154551
"ENSMUSG00000026180",0.389210671049149,0.999984061922498,0.173180568894046,0.992309481756356,-0.384536191578736,0.478682376585852,-2.239407545741,0.949057667392672,-0.557716760472782,0.45004566034175,-2.41258811463505,0.53458183638189,-1.85487135416226
