,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5
ENSMUSG00000025902,42.59635848,36.92050704,48.78769294,25.70263861,58.18297289,24.71405215,9.690968878,35.65363131,10.57543235,131.7056408,53.27348056,81.27266343,99.66504036,44.17841204,49.13275022,64.3405833,46.89578923,21.39209301,32.66295736,126.0604315
ENSMUSG00000033845,1459.172931,1982.848408,2104.29023,1232.214733,1657.538181,1004.553532,1253.769099,1786.64308,1586.314853,957.0609898,1075.780607,1963.547549,924.1667379,2186.200276,1422.61645,646.9803098,474.8767783,1175.772816,1003.705461,500.0196062
ENSMUSG00000102275,3.962451952,2.171794532,3.851659969,0,14.88401632,1.453767774,4.845484439,6.602524316,6.169002204,24.14603415,48.11798244,30.8836121,8.236780195,40.39169101,20.09976145,4.170222992,4.097690321,7.13069767,5.443826227,1.206319918
ENSMUSG00000025903,3560.263079,3774.578897,3823.414462,2246.712999,3120.231058,1814.302182,1755.276738,4988.867373,2218.196936,1391.689604,2845.834961,8073.626386,1966.119433,6681.038141,1932.92706,853.1084748,775.3740685,1571.130387,1116.664855,1567.009574
ENSMUSG00000033813,2185.292251,2754.921364,2381.609747,1079.510822,898.4533488,1626.766139,2500.26997,2666.099319,1662.986737,628.8944348,1115.306093,1666.0896,743.7812516,1348.072688,768.2575489,987.7471028,1069.952473,873.9066145,1108.499115,979.5317738
ENSMUSG00000033793,1659.276755,1602.784365,1096.439204,1791.625103,1539.819143,1155.018496,2048.428547,1853.988828,1631.26044,1334.61716,1814.735338,3403.699145,717.423555,2890.530388,1218.268875,1481.620654,1322.188077,1197.957209,1184.032204,1220.192597
ENSMUSG00000025907,713.2413513,506.0281259,567.4779021,1058.343943,673.8400116,545.1629152,698.9611303,616.6757711,699.7411072,894.5008105,1986.585275,1989.554801,862.3908864,1322.827881,1305.367841,421.1925221,579.140232,664.7394828,391.27501,434.8783306
ENSMUSG00000090031,12.87796884,6.515383596,32.09716641,4.535759755,2.706184786,6.541954982,9.690968878,14.5255535,3.525144117,16.4632051,3.436998746,14.62907942,10.70781425,12.62240344,6.699920485,21.4468611,23.22024515,26.14589146,7.485261062,72.98235506
ENSMUSG00000051285,1317.515274,1054.406245,1164.485197,1026.593625,1520.875849,837.3702377,712.2862125,1109.224085,1345.723767,478.5304949,3622.596678,1947.293016,1494.151927,1671.206216,1941.860287,285.958148,384.7275912,580.7557102,428.7013153,481.9248074
ENSMUSG00000103509,10.89674287,17.37435626,15.40663987,3.023839837,8.118554357,7.268838869,8.479597768,2.641009726,7.931574263,6.58528204,6.873997491,1.625453269,0.82367802,6.311201721,0,7.1489537,10.92717419,19.80749353,8.846217618,2.412639837
