,X1,X2,X3,X4,Y1,Y2,Y3,Y4
ENSMUSG00000051951,195.829485,144.005493,101.6012111,56.53072891,96.84124797,183.5690696,238.5766377,125.4453449
ENSMUSG00000103377,8.047787054,14.83692958,10.16012111,29.8071116,15.9738141,10.46248583,15.52382231,27.58018221
ENSMUSG00000102331,160.9557411,236.5181127,298.0302193,450.1901684,425.3028004,350.0177078,191.1881275,344.3074359
ENSMUSG00000025902,69.7474878,77.67569014,66.60523841,83.25434621,44.92635215,81.7976165,76.80206829,73.84371365
ENSMUSG00000033845,574.0754765,483.5093521,580.2558058,537.5558403,578.0523977,510.7595356,476.3362321,549.8242775
ENSMUSG00000102275,14.75427627,10.47312676,24.83585161,29.8071116,44.92635215,28.53405227,17.15790887,15.12461605
ENSMUSG00000025903,316.5462908,435.5075211,372.5377742,201.4549612,496.1866004,377.600625,414.2409428,426.1582992
ENSMUSG00000033813,1191.072484,1025.493662,776.684814,565.3072891,1110.18008,944.4771301,1006.597321,1100.538238
ENSMUSG00000103280,25.48465901,14.83692958,23.70694927,12.33397722,22.96235777,27.58291719,42.48625054,23.13176572
ENSMUSG00000002459,500.3040952,516.6742535,421.0805751,418.3273939,523.1424117,454.6425661,476.3362321,407.47495
ENSMUSG00000033793,2924.029296,3170.739127,2978.044389,2619.942327,4107.26695,2918.082412,2816.348185,2854.104017
ENSMUSG00000025905,155.5905497,159.7151831,118.5347463,72.97603186,193.6824959,136.0123158,138.8973576,116.5485119
ENSMUSG00000033774,12.07168058,21.81901408,27.0936563,12.33397722,25.95744791,16.16929629,23.69425511,25.80081561
ENSMUSG00000025907,1417.751819,1393.79862,1133.417955,1394.767257,1571.423962,1390.559481,1169.188933,1301.606663
ENSMUSG00000090031,37.55633959,52.3656338,56.4451173,43.16892026,20.965631,41.84994333,50.65668334,88.9683297
ENSMUSG00000103845,18.77816979,11.34588732,7.902316422,10.27831435,6.988543668,12.36475598,14.70677903,19.57303253
ENSMUSG00000033740,139.4949756,74.18464788,63.21853138,128.4789293,78.87070711,97.96691279,128.2757949,114.7691453
ENSMUSG00000051285,1676.622303,1576.205577,1306.140014,1306.373753,1905.875695,1911.781502,1824.457644,1810.505509
ENSMUSG00000103509,32.19114822,13.96416901,10.16012111,7.194820043,18.96890424,6.657945529,31.86468791,21.35239913
ENSMUSG00000097797,21.46076548,39.27422535,37.25377742,28.77928017,43.92798877,40.89880825,27.77947151,22.24208242
ENSMUSG00000025909,296.4268232,371.796,273.1943677,171.6478496,282.5368369,313.874575,389.7296444,250.8906897
ENSMUSG00000102316,45.60412664,41.01974648,53.05841026,90.44916625,43.92798877,38.9965381,31.86468791,41.81511496
ENSMUSG00000061024,523.1061585,413.688507,522.6817862,387.4924509,494.1898737,510.7595356,464.0805829,456.4075313
ENSMUSG00000025911,236.0684203,228.6632676,244.9718091,199.3992983,297.5122876,225.4190129,205.8949065,239.3248069
ENSMUSG00000079671,38.89763743,47.12907042,44.02719149,53.4472346,59.90180287,80.84648143,56.3759863,46.26353144
ENSMUSG00000067879,4805.870169,4911.02369,4257.090747,3332.229511,4998.805449,5123.764652,4623.64792,4542.722914
ENSMUSG00000025912,42.92153096,66.32980281,39.51158211,30.83494304,52.9132592,34.24086272,55.55894302,43.59448155
ENSMUSG00000045210,1044.871019,1061.276845,747.333353,516.9992116,1248.95259,1059.564474,1051.534701,1010.680225
ENSMUSG00000025915,296.4268232,264.4464507,190.7844965,137.7294122,239.6072115,223.5167428,221.4187288,269.574039
ENSMUSG00000046101,42.92153096,68.9480845,89.18328533,65.78121182,32.94599158,50.41015901,59.64415942,58.7190976
ENSMUSG00000098234,127.423295,109.967831,141.1127932,178.8426696,135.7774198,107.4782635,124.1905785,117.4381952
ENSMUSG00000025916,5.36519137,2.61828169,11.28902346,13.36180865,31.9476282,7.609080605,8.987476077,8.89683297
ENSMUSG00000025917,1160.222634,1173.862958,1210.183315,1095.668309,1349.787291,1037.688367,988.6223685,1039.150091
ENSMUSG00000056763,532.4952434,473.9089859,425.5961844,507.7487287,394.3535355,581.1435312,533.5292617,543.5964944
ENSMUSG00000067851,1376.171586,1270.73938,1021.656623,767.7900817,1437.643269,1422.898073,1254.161434,1358.546394
ENSMUSG00000042501,5.36519137,40.14698591,33.86707038,34.94626878,43.92798877,40.89880825,21.24312527,60.49846419
ENSMUSG00000048960,626.3860924,603.9503098,396.2447234,286.7649703,675.892009,590.654882,695.303831,483.9877136
ENSMUSG00000057715,1157.540038,986.2194366,799.262861,616.6988608,1173.076973,1067.173555,971.4644596,944.8436614
ENSMUSG00000103825,25.48465901,20.07349296,23.70694927,26.7236173,31.9476282,15.21816121,28.59651479,18.68334924
ENSMUSG00000103561,9.389084897,20.07349296,19.19133988,45.22458312,34.94271834,24.72951197,9.804519357,8.89683297
ENSMUSG00000016918,325.9353757,302.8479155,302.5458287,264.1526787,386.3666285,276.780307,314.5616627,323.8447201
ENSMUSG00000025938,52.31061585,115.2043944,82.40987126,56.53072891,63.89525639,118.8918845,90.69180405,118.3278785
