order,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24
Eubacteriales,100,468,2888,1184,1261,318,4338,632,1167,874,426,5858,82,158,1625,529,382,812,1696,4845,783,824,1245,521
Bacteroidales,1065,1005,380,800,621,626,593,549,258,263,551,270,206,582,967,696,477,716,1224,656,1745,1650,687,1520
Erysipelotrichales,588,186,141,157,127,123,752,139,129,132,229,249,131,464,144,135,121,746,752,171,251,230,410,62
Burkholderiales,8,259,445,342,357,22,138,257,383,376,251,268,405,8,408,125,400,8,5,450,5,126,10,2
unclassified,30,129,233,164,247,40,322,85,246,137,36,730,23,44,192,60,44,172,351,725,162,161,154,73
Coriobacteriales,23,228,377,178,300,114,15,132,416,415,23,311,311,1,433,100,405,2,2,36,30,34,1,0
Verrucomicrobiales,296,61,48,51,48,55,47,50,54,47,46,64,51,546,53,50,42,80,60,65,79,64,73,568
Lactobacillales,0,3,8,8,4,2,13,4,25,16,445,292,8,0,27,15,456,14,32,23,49,23,95,3
Enterobacterales,4,7,20,25,30,4,52,7,10,16,10,79,7,6,49,48,8,11,22,55,16,29,10,15
Bacillales,7,18,38,15,24,19,25,15,20,18,0,18,2,7,8,2,5,17,19,42,30,34,20,8
Mycoplasmatales,0,9,2,4,0,0,0,0,2,0,0,0,0,0,0,1,0,7,21,195,0,0,2,0
Acidaminococcales,1,3,3,0,6,2,2,1,5,1,1,4,1,1,2,2,1,3,4,13,7,11,3,1
Selenomonadales,0,2,7,3,5,0,6,3,3,2,0,5,0,0,3,1,0,4,8,4,4,4,6,1
Eggerthellales,0,3,5,4,2,3,1,0,3,5,0,9,4,0,6,1,5,0,0,3,0,4,0,1
Tissierellales,0,6,5,1,7,4,2,1,4,1,0,2,0,1,2,2,0,4,5,4,2,3,2,0
Candidatus Borkfalkiales,0,1,6,2,3,0,1,0,4,0,0,1,0,0,0,2,0,4,5,4,6,1,3,0
Flavobacteriales,0,1,0,0,2,0,3,0,0,2,0,3,0,1,2,3,0,3,1,2,1,3,4,2
Bifidobacteriales,1,0,0,4,1,0,5,0,0,1,0,1,0,1,0,0,1,3,4,3,2,3,0,1
Myxococcales,0,2,0,0,5,0,0,0,4,0,0,1,0,0,0,0,0,2,4,3,1,5,4,0
Spirochaetales,0,1,4,1,3,0,3,2,5,3,0,2,0,0,0,0,0,0,0,3,3,1,0,0
Chitinophagales,3,0,0,0,1,2,0,1,1,0,0,0,0,0,1,1,0,4,1,0,3,4,3,2
Acholeplasmatales,0,2,0,1,3,0,0,1,2,0,0,0,0,0,0,1,0,3,1,4,4,1,3,0
Cytophagales,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,3,2,3,3,3,2,1
Rhodospirillales,0,1,0,0,3,1,0,0,3,0,0,0,0,0,1,0,0,3,2,3,2,2,3,0
Marinilabiliales,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,3,0,2,0,1,4,3,1,1
Sphingobacteriales,1,0,0,0,1,1,3,0,1,0,0,1,0,1,1,1,0,1,2,0,0,2,4,1
Desulfovibrionales,1,1,1,1,1,0,1,2,1,3,0,3,0,0,0,1,0,2,1,1,0,0,0,0
Campylobacterales,1,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,2,2,2,1,2,2,1
Kitasatosporales,1,1,2,0,1,0,4,0,0,1,0,0,0,0,0,1,0,1,2,0,2,0,2,0
Fusobacteriales,0,1,0,1,1,1,2,1,1,1,0,2,0,1,1,0,1,1,1,0,0,1,0,0
Chlamydiales,0,1,0,0,1,0,2,1,1,1,1,0,0,0,0,0,1,1,1,2,2,1,0,0
Thermoanaerobacterales,0,0,1,0,2,0,0,0,1,2,0,1,0,0,2,0,0,2,1,0,1,1,2,0
Hyphomicrobiales,0,0,2,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0
Desulfobulbales,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,2,1,1,2,0,1,1
Synergistales,1,2,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0
Moraxellales,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,2,1,0,0,0
Veillonellales,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0
Vibrionales,0,0,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
Micrococcales,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0
Mycobacteriales,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1
Alteromonadales,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
Fibrobacterales,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0
Aeromonadales,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
Brachyspirales,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Leptospirales,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
Terriglobales,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Candidatus Acidulodesulfobacterales,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Capsulimonadales,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Halanaerobiales,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0
Moorellales,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Neisseriales,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Nostocales,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Oscillatoriales,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Pasteurellales,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Thermosediminibacterales,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
Ardenticatenales,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bryobacterales,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Desulfobacterales,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
Desulfuromonadales,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Pseudomonadales,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balneolales,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Cellvibrionales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Methylococcales,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nitrospinales,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Oceanospirillales,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pirellulales,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Propionibacteriales,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Syntrophorhabdales,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thermotogales,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Xanthomonadales,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Actinomycetales,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anaerolineales,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deferribacterales,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dehalococcoidales,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holophagales,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legionellales,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Natranaerobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Nitrosomonadales,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puniceicoccales,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saprospirales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Sphingomonadales,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Streptosporangiales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Victivallales,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidithiobacillales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Candidatus Cloacimonadales,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Gastranaerophilales,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Mcinerneyibacteriales,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Termititenacales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Caulobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chroococcales,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfuribacillales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Desulfurobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Entomoplasmatales,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kineosporiales,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kiritimatiellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Koleobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kosmotogales,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maricaulales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Micromonosporales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
