"phylum","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24"
"Bacillota",710,790,3214,1471,1573,495,5279,836,1506,1117,1109,6689,234,668,1948,712,999,1707,2770,5492,1231,1214,1862,630
"Bacteroidota",1071,1007,385,801,627,631,603,551,261,267,551,274,207,584,978,708,477,736,1235,670,1764,1671,704,1532
"Pseudomonadota",14,269,475,372,396,29,197,266,402,395,263,352,413,14,462,176,409,25,35,516,35,163,29,18
"Actinomycetota",27,233,385,186,306,117,29,133,420,422,23,323,315,2,440,102,412,8,10,47,37,45,5,3
"Verrucomicrobiota",296,62,49,51,49,55,49,50,54,47,46,65,51,546,53,50,42,80,60,66,80,64,74,568
"unclassified",13,21,101,59,103,8,174,41,89,59,27,465,11,7,50,32,9,54,89,318,41,61,68,35
"Mycoplasmatota",0,11,3,6,5,0,1,1,5,0,0,2,0,0,0,2,0,11,23,203,7,3,8,0
"Spirochaetota",1,2,10,3,5,2,6,3,8,8,1,5,0,0,2,0,1,6,3,11,6,4,4,0
"Thermodesulfobacteriota",1,2,1,2,3,0,5,2,1,3,0,4,0,0,2,3,0,5,2,2,4,1,2,1
"Myxococcota",0,2,0,0,5,0,0,0,4,0,0,1,0,0,0,0,0,2,4,3,1,5,4,0
"Campylobacterota",1,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,2,2,2,1,2,2,1
"Fusobacteriota",0,1,0,1,1,1,2,1,1,1,0,2,0,1,1,0,1,1,1,0,0,1,0,0
"Acidobacteriota",1,0,2,0,1,1,0,2,1,1,0,0,0,1,0,0,0,1,1,0,2,2,0,0
"Chlamydiota",0,1,0,0,1,0,2,1,1,1,1,0,0,0,0,0,1,1,1,2,2,1,0,0
"Chloroflexota",0,0,1,1,0,4,1,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0
"Synergistota",1,2,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,0
"Lentisphaerota",0,0,1,1,0,0,1,3,0,2,0,0,0,0,0,0,0,1,1,1,1,0,1,0
"Cyanobacteriota",0,0,2,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1
"Elusimicrobiota",0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,2,0
"Planctomycetota",0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"Fibrobacterota",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0
"Candidatus Sungbacteria",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
"Armatimonadota",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"Thermotogota",0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Kiritimatiellota",0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Balneolota",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Candidatus Desantisbacteria",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Candidatus Melainabacteria",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"Candidatus Rokubacteria",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Nitrospinota",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Atribacterota",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Absconditabacteria",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Candidatus Dadabacteria",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Candidatus Gracilibacteria",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Portnoybacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Deferribacterota",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Nitrospirota",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aquificota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Candidatus Bipolaricaulota",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Cloacimonadota",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Magasanikbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Candidatus Margulisbacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Candidatus Mcinerneyibacteriota",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Saccharibacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Deinococcota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Thermomicrobiota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"candidate division WWE3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
