"","Pval","log2FoldChange_GroupY_vs_GroupX"
"ENSMUSG00000033813",0.359615403861473,-0.225912278538285
"ENSMUSG00000033740",0.875323709363328,-0.0507213308016294
"ENSMUSG00000051285",0.0207232371403451,-0.345532622592147
"ENSMUSG00000061024",0.633880104792784,-0.060026735517707
"ENSMUSG00000025915",0.691041899762883,-0.101354156028966
"ENSMUSG00000103825",0.931876769080245,0.0233804545599352
"ENSMUSG00000005886",0.351786432385726,-0.280769670310557
"ENSMUSG00000025777",0.409806105169554,-0.156615459146939
"ENSMUSG00000041779",0.585338803207827,0.119865679410946
"ENSMUSG00000102465",0.314942605750165,-0.38752714057117
"ENSMUSG00000048874",0.453097225078994,-0.125996127839753
"ENSMUSG00000042111",0.601322920721536,0.0818511119160306
"ENSMUSG00000067653",0.644339634670094,0.173581996844248
"ENSMUSG00000050122",0.451426569105097,-0.17926404612255
"ENSMUSG00000026110",0.854568907327796,-0.0248547622110744
"ENSMUSG00000060771",0.843345550849878,0.0449256375596361
"ENSMUSG00000048234",0.381866793090145,-0.0824852297096156
"ENSMUSG00000097083",0.488695479884161,0.236614170337852
"ENSMUSG00000041945",0.957210775425525,0.0126072771227752
"ENSMUSG00000041684",0.57065170832727,-0.118665743216509
"ENSMUSG00000084817",0.905339794066032,0.036646536536012
"ENSMUSG00000101337",0.921219518273795,0.020672986943945
"ENSMUSG00000026107",0.40898868604425,-0.182796986668315
"ENSMUSG00000025981",0.118981566119981,-0.244644138341358
"ENSMUSG00000026035",0.904337248924519,-0.0198695060680036
"ENSMUSG00000026036",0.935306589131059,0.0117008298140018
"ENSMUSG00000026037",0.814508424351782,-0.0347842529309074
"ENSMUSG00000026028",0.263511645949435,-0.237116267899095
"ENSMUSG00000097573",0.274654350657905,0.383339524684872
"ENSMUSG00000026017",0.0468372682854965,-0.110747449512331
"ENSMUSG00000026782",0.196644693646726,-0.294245689004286
"ENSMUSG00000103382",0.345342166282795,0.503278180192318
"ENSMUSG00000026000",0.925182004387452,-0.0057944971966617
"ENSMUSG00000025997",0.270925405624017,-0.344981704261325
"ENSMUSG00000026209",0.12806604907358,0.155330041144244
"ENSMUSG00000033007",0.346841964116441,0.213708636719284
"ENSMUSG00000047330",0.381593168664633,0.357875141625068
"ENSMUSG00000054702",0.139977841815223,-0.439093919169456
"ENSMUSG00000026248",0.48531747211228,0.0534447914636361
"ENSMUSG00000054976",0.184408826278187,-0.438018825257646
"ENSMUSG00000067081",0.301127348318361,0.317879173636748
"ENSMUSG00000026277",0.175581280456509,0.0334446614251836
"ENSMUSG00000073609",0.458383292642519,-0.0927167346373203
"ENSMUSG00000089706",0.678915294757116,0.0535652481821374
"ENSMUSG00000056536",0.233707141170368,-0.240773583380892
"ENSMUSG00000026319",0.117940933447667,-0.22397110549381
"ENSMUSG00000026315",0.504964970867336,-0.214794110319536
"ENSMUSG00000026312",0.130989025658332,-0.212288383093235
"ENSMUSG00000037035",0.777584519698982,-0.0358799254839953
"ENSMUSG00000098923",0.06301419955996,-0.214667283953901
"ENSMUSG00000058665",0.248636620840994,1.3684024765168
"ENSMUSG00000104253",0.618057245756829,-0.28847143930951
"ENSMUSG00000036815",0.211806573412845,-0.266880319702167
"ENSMUSG00000102801",0.798162967369472,0.133965231625573
"ENSMUSG00000026354",0.579685731525445,-0.151455462411372
"ENSMUSG00000016528",0.734797826007941,0.0328700406758486
"ENSMUSG00000026427",0.915607912916772,0.0116899635724984
"ENSMUSG00000052688",0.464035731356155,-0.22068527790102
"ENSMUSG00000042251",0.712150519669197,-0.0870021857464019
"ENSMUSG00000026443",0.216756457799573,0.124158937531208
"ENSMUSG00000042207",0.434323307973231,-0.124142293158803
"ENSMUSG00000103976",0.717325875469325,-0.190136773782214
"ENSMUSG00000041889",0.338471762566512,0.143716913066748
"ENSMUSG00000026411",0.0712972686278538,0.213591848119457
"ENSMUSG00000063681",0.43374476949307,-0.320302842258546
"ENSMUSG00000052726",0.114459869484977,-0.515679346959103
"ENSMUSG00000026483",0.155000784789473,-0.374162215513952
"ENSMUSG00000042684",0.550507941319968,0.108616233674548
"ENSMUSG00000026475",0.256712599801129,0.328849925602105
"ENSMUSG00000033722",0.98595343843951,-0.00300978813196742
"ENSMUSG00000026469",0.297262177453202,-0.164260429886156
"ENSMUSG00000026466",0.378295186033041,-0.0813835897844238
"ENSMUSG00000015484",0.41541770082538,0.111650627496483
"ENSMUSG00000026600",0.266487602008712,-0.2016671064495
