"","Pval","log2FoldChange_GroupX_vs_GroupY"
"ENSMUSG00000033793",0.885714285714286,-0.118736574981358
"ENSMUSG00000025916",0.685714285714286,-0.815691991238609
"ENSMUSG00000102937",0.485714285714286,0.149769870791987
"ENSMUSG00000104027",0.485714285714286,1.16691268245743
"ENSMUSG00000102386",0.885714285714286,-0.0584799176149997
"ENSMUSG00000037509",0.2,0.0797599655294888
"ENSMUSG00000037408",0.342857142857143,-0.0509310913370482
"ENSMUSG00000026083",0.685714285714286,-0.00127803251356015
"ENSMUSG00000003135",0.2,0.0690978767575692
"ENSMUSG00000097899",0.885714285714286,0.442991185404522
"ENSMUSG00000066877",0.342857142857143,-0.028688809007986
"ENSMUSG00000026102",0.2,-0.108628192464221
"ENSMUSG00000085054",0.342857142857143,0.53649989894652
"ENSMUSG00000084799",1,0.147142130870507
"ENSMUSG00000102605",0.342857142857143,0.108992688904031
"ENSMUSG00000026150",0.2,-0.0923469539275275
"ENSMUSG00000036766",0.342857142857143,-0.227273380342034
"ENSMUSG00000070034",1,-0.0147996596572166
"ENSMUSG00000026229",0.885714285714286,-0.0190954234828869
"ENSMUSG00000026234",0.342857142857143,-0.103022517198199
"ENSMUSG00000026238",0.685714285714286,-0.00962356093638339
"ENSMUSG00000026239",0.342857142857143,0.115039256657619
"ENSMUSG00000026270",0.2,0.140428056389047
"ENSMUSG00000040693",0.342857142857143,-0.444968974267146
"ENSMUSG00000026342",0.485714285714286,-0.151939517969131
"ENSMUSG00000036086",0.342857142857143,-0.110695790267524
"ENSMUSG00000104515",1,0.0781132448620463
"ENSMUSG00000026434",0.2,-0.128542690532385
"ENSMUSG00000054387",0.342857142857143,-0.12127958534828
"ENSMUSG00000041757",0.342857142857143,0.120674214131741
"ENSMUSG00000070643",0.342857142857143,-0.10168272981206
"ENSMUSG00000073557",0.485714285714286,-0.132757078579685
"ENSMUSG00000104524",0.685714285714286,-0.00620192045391535
"ENSMUSG00000099964",1,-0.0199757403405154
"ENSMUSG00000006005",0.342857142857143,-0.0591293071767655
"ENSMUSG00000052748",0.342857142857143,-0.122653955385572
"ENSMUSG00000042671",0.114285714285714,0.328294435071042
"ENSMUSG00000102326",0.2,-0.506477650282195
"ENSMUSG00000004031",0.342857142857143,-0.0377278508962194
"ENSMUSG00000026697",0.342857142857143,0.0864912635239074
"ENSMUSG00000041406",0.485714285714286,-0.489009296941226
"ENSMUSG00000104427",0.2,-0.842368780065447
"ENSMUSG00000026527",1,-0.100742651322558
"ENSMUSG00000102211",0.685714285714286,-0.298339516947455
"ENSMUSG00000026495",0.342857142857143,-0.0734564488293609
"ENSMUSG00000026516",0.685714285714286,0.105301559757151
"ENSMUSG00000026615",0.885714285714286,0.022445349537924
"ENSMUSG00000103961",0.885714285714286,0.370839651325545
"ENSMUSG00000026630",0.342857142857143,0.439796001061254
"ENSMUSG00000026628",0.2,-0.549248654149723
"ENSMUSG00000073478",0.2,0.223093113296277
